product_id,title,description,category,color,image_path
B072ZLCB3M,"Amazon Brand – Rivet Bristol Natural Edge Black Metal Side Table, Walnut","이 현대적인 작품은 헤어핀과 비슷한 어두운 금속 다리에 떠 있는 것처럼 보입니다. 월넛 베니어 탑은 클래식한 터치를 제공하여 이 작품이 기존의 스타일과 조화를 이룹니다. 16.9""L x 16.9""W x 21.3""H 호두나무 베니어 공예 나무; 블랙 페인트 금속 다리 현대 작은 사이드 테이블이 필요한 모든 방에 컴팩트하고 편리한 조각. 15-30분 안에 간단한 조립.",table,Brown,data/raw/images/81Xh+yZvD1L.jpg
B07TMH6289,"AmazonBasics LeatherSoft Kids/Youth Recliner with Armrest Storage, 5+ Age Group, Light Blue","Kid’s/youth reclining chair appropriate for ages 5 and up; 90 pound weight capacity Smooth LeatherSoft upholstery offers durability and comfort; wipe clean with a damp cloth CA117 fire retardant foam filling for children's safety; plush padding for extra comfort Solid hardwood frame and raised plastic feet for enhanced sturdiness Armrest storage compartment for books, video game controllers, remotes, and more",chair,Light Blue,data/raw/images/71T+bO0FkKL.jpg
B075X4QMW7,"Amazon Brand – Rivet Eva Mid-Century Modern Tufted Velvet Down-Filled Sectional Sofa Couch, 87""W, Navy","Bring stunning, Mid-century elegance to your living room with this hand-tufted sofa featuring luxurious velvet upholstery. The plush down-filled bench cushion is removable and reversible and is held in place by clips at the corners. 87""W x 35.25''D x 30.25''H Durable polyester velvet on hardwood frame and brushed brass legs Modern elegant style with reversible cushion to extend the life of the piece Simple assembly in 15 minutes or less.  Vacuum or wipe with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",sofa,Navy,data/raw/images/81KZp1brWYL.jpg
B075NR8HWJ,Amazon Brand Movian Dofsan Chair 100 x 93 x 86 cm Grey,"Dimensions: 100 x 93 x 96 cm Scandinavian style design for a modern, sleek and understated look Padding made from high-quality polyester for dirt-repellent, durable and comfortable Soft back padding for extra comfort and solid wooden frame Assembly: legs must be fitted Free return within 14 days. 2 year warranty.",chair,Grau,data/raw/images/61WTOkHRcZL.jpg
B07B4SCB6T,"Stone & Beam Tisbury Nailhead Trim Queen Bed, 66""W, Spinnsol Cocoa","This bed adds classic style to any space. A hand-applied pewter nailhead trim accents the scalloped silhouette for added design detail. The sturdy frame is covered in a thick polyester padding for extra comfort. This item is made to order just for you 66""W x 92""D x 56""H; Legs: 5.5""H; Footboard: 18""H Polyster/linen blend fabric, polyurethane foam, plywood frame The bed is fully upholstered on the front and back of the headboard and footboard. Cross-slat support system with adjustable levelers included. Assemble in 30 minutes-1 hour. Vacuum, brush lightly or spot-clean only. Free returns for 30 days. 3-year warranty.",bed,Spinnsol Cocoa,data/raw/images/81cVhl8HXmL.jpg
B075X61WKJ,"Amazon Brand – Stone & Beam Norah Leather and Wood Round Ottoman, 39.5"", Saddle Brown","This simple but stylish round ottoman is designed to blend with most any decor. The wood frame has a light oak finish for a rustic touch, with a smooth top-grain leather upholstered top. Use as a foot stool or extra seat for guests. 39.5'' Diameter x 17.25''H 100% top-grain leather on wood frame. Use as a resting place for tired feet, a snack tray, or an extra guest No assembly required. Wipe with a soft dry cloth. Free returns for 30 days. 3-year warranty.",ottoman,Chaps Saddle,data/raw/images/91X+8Y0xhyL.jpg
B07DBFT2YG,"Amazon Brand – Ravenna Home Angela Modern Turned Leg Wood Shelf Storage Coffee Table, 44""W, Grey","Solid pine and medium-density fibreboard With a handy lower shelf, this coffee table can hold snack trays, remotes and magazines Traditional style with turned legs 15-30 minutes assembly required Free returns for 30 days. 1-year warranty. 44""L x 22""W x 20""H",table,Grey,data/raw/images/61LgxujFuOL.jpg
B083H3WMT3,AmazonBasics Classic Faux Leather Extra Padded Recliner Chair - Brown (Renewed),"Classic-style chair with lever reclining mechanism Slim design, perfect for smaller living spaces Hand-lever reclining feature offers smooth, easy operation Overstuffed, generously padded seat and back, arm rests, and foot rest Faux leather upholstery provides a luxurious look with added durability",chair,Brown,data/raw/images/91udGka1EiL.jpg
B07QBQCG1R,"Amazon Brand – Ravenna Home Haraden Modern Scroll-Topped Button-Tufted Queen Headboard, 62""W, Beige","62""W x 3.5""D x 47""H Durable polyester fabric on wood frame; solid wood legs with a black finish Contemporary design with a wood frame upholstered in beige fabric; solid wood legs Foam padding and an elastic suspension system keep the headboard supportive and springy. Assemble in 15 minutes or less Free returns for 30 days. 1-year warranty. Avoid moisture. Wipe clean with a soft, dry cloth.",headboard,Beige,data/raw/images/91AIzQ1-f5L.jpg
B08CD2924F,"Amazon Brand – Rivet Madison Modern Fabric Round Lift-Top Storage Tray Ottoman Pouf, 19.7""W, Marshmallow (Renewed)","It's a footstool, a storage space, an end table, an extra seat for company. Turn over the lid and voila—it's an extra tray for snacks! An ottoman couldn't be more clever and multitasking than this. 19.7""W x 19.7""D x 16.5""H Compact and stable with wood-frame construction and durable 100% polyester fabric exterior Perfect for any room where storage space or a footstool is needed. Modern styling perfect for your contemporary home. Simple assembly in 15 minutes or less. Wipe clean with a soft, dry cloth. Free returns for 30 days. 1-year warranty.",ottoman,Marshmallow,data/raw/images/919BpwSoX+L.jpg
B07B3XXD3P,"Vida Designs Corona Wardrobe, 3 Door, Solid Pine Wood, Solid Pine Wood, Distressed Waxed Pine Bedroom Wooden Storage Mexican Furniture",Product Colour: Pine Product Size: H 178 x W 150 x D 50 cm Approx. Product Material: Distressed Waxed Pine Product Brand: Vida Designs Product Cleaning Instructions: Wipe With A Dry Cloth,cabinet,Black,data/raw/images/814WJICrXwL.jpg
B07DBHCKHY,"Amazon Brand – Ravenna Home Tufted Armless English Roll Traditional Accent Chair, 26.8""W, Merlot Red","Wood frame; velvet fabric; foam padding; wood legs with black painted finish Mid-century inspired button tufting with traditional curved legs and rolled back This chair adds a touch of glam to a mid-century or traditional room Easy to assemble, just attach legs Free returns for 30 days. 1-year warranty. 25.2""L x 26.8""W x 30.7""H",chair,Merlot,data/raw/images/81l+UPz-wZL.jpg
B082VLYQWX,"Amazon Brand – Stone & Beam Westview Extra-Deep Down-Filled Leather Sofa Couch, 89""W, Dark Grey","This couch, with its deep cushions and sturdy frame, will help you add maximum comfort and style to any living space in your home. Never believe that you have to sacrifice comfort for style—this couch has it both in spades. 89""W x 42.1""D x 31.5""H Solid wood frame and block legs with 100% top-grain leather and down-filled cushions Seat and back cushions are filled with luxurious down. Assemble in 15 minutes or less To clean, avoid moisture and wipe down with a clean, soft cloth. Free returns for 30 days. 3-year warranty",sofa,Dark Grey,data/raw/images/71+YMq06qWL.jpg
B07P5LLX43,"Amazon Brand – Stone & Beam Lauren Down Filled Oversized Ottoman with Hardwood Frame, 46.5""W, Chocolate","Dimensions: 46""W x 46""D x 19""H Soft down-filled cushions on a frame of solid hardwood mean this ottoman offers plush support and security. Neutral chocolate-colored upholstery allows this piece to blend into your existing color scheme with ease. Solid hardwood frame with moisture-repellent, stain-resistant fabric made of 98% polyester, 2% nylon; down-filled seat and back cushions Wide surface provides a comfortable space for rest or extra seating. Classic design will fit any space. No assembly required Avoid moisture. Wipe with a soft, dry cloth. Free returns for 30 days. 3-year warranty.",ottoman,Chocolate,data/raw/images/81vMWyVcKsL.jpg
